product_name,product_description,category
Laptop A,A high-performance laptop for gaming.,Electronics
Smartphone B,A budget-friendly smartphone with a great camera.,Electronics
Headphones C,Noise-cancelling headphones for music lovers.,Electronics
Smartwatch D,A fitness tracker with heart rate monitoring.,Electronics
Tablet E,A lightweight tablet for productivity.,Electronics
T-Shirt X,A comfortable cotton t-shirt available in various colors.,Clothing
Jeans Y,Stylish and durable denim jeans with a slim fit.,Clothing
Jacket Z,A warm and trendy jacket perfect for winter.,Clothing
Sneakers W,Lightweight and stylish sneakers for casual wear.,Clothing
Dress V,A fashionable summer dress with a floral pattern.,Clothing
